WebsiteAccessCategoryID,CategoryName,Description,AccessLevel,FeaturesIncluded,SubscriptionCost,ActivationDate,ExpirationDate,TermsAndConditions,RenewalNoticePeriod,,
36,Global,Worldwide access with localized support,global,"Standard features, multilingual support",$6.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
37,Bulk,Discounted access for large-scale enterprise deployments,bulk,"Enterprise features, custom pricing",$999/year,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
38,Non-Profit Plus,Enhanced features for non-profit organizations,non-profit-plus,Non-profit features plus free software/hardware,$4.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
39,Family Plus,Shared access with additional family features,family-plus,Family features plus parental controls,$19.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
40,Loyalty Plus,Elevated benefits for long-term loyal customers,loyalty-plus,Loyalty features plus exclusive promotions,$9.99/month,1/1/2023,12/31/2024,"Terms apply, no contract",90 days,,
41,Seasonal Plus,Enhanced features for seasonal access,seasonal-plus,Seasonal features plus limited-time discounts,$2.99/month,6/1/2023,9/1/2023,"Terms apply, no auto-renewal",N/A,,
42,Corporate Plus,Expanded access for employees of partner companies,corporate-plus,Corporate features plus dedicated support,$5.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
43,Reseller Plus,Discounted bulk access for authorized resellers,reseller-plus,Reseller features plus co-marketing opportunities,$99/month,1/1/2023,12/31/2024,"Custom terms, 12 month contract",120 days,,
44,Influencer Plus,Enhanced features for social media influencers,influencer-plus,Influencer features plus content creation tools,$0.00 ,1/1/2023,12/31/2024,"Terms apply, no contract",N/A,,
45,International Plus,Localized access with additional global features,international-plus,International features plus multi-currency support,$7.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
46,Promotional Plus,Enhanced features for marketing campaigns,promotional-plus,Promotional features plus custom branding,$0.00 ,1/1/2023,6/30/2023,"Terms apply, no auto-renewal",N/A,,
47,Subscription Plus,Recurring access with expanded benefits,subscription-plus,Subscription features plus priority support,$6.99/month,1/1/2023,12/31/2024,"Terms apply, auto-renew",90 days,,
48,Lifetime Plus,Perpetual access with additional premium features,lifetime-plus,Lifetime features plus exclusive content,$149.99 ,1/1/2023,12/31/2099,"Terms apply, no renewal",N/A,,
49,Bundle Plus,Discounted access with complementary product bundle,bundle-plus,Bundle features plus free accessory,$12.49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
50,Charity Plus,Enhanced features for charitable organizations,charity-plus,Charity features plus free software/hardware,$4.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
51,Community Plus,Expanded access for active community members,community-plus,Community features plus early access to new products,$5.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
52,Veteran Plus,Discounted access with additional military benefits,veteran-plus,Veteran features plus free tech support,$4.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
53,Accessibility Plus,Enhanced features for users with disabilities,accessibility-plus,Accessibility features plus dedicated support,$9.99/month,1/1/2023,12/31/2024,"Terms apply, no contract",60 days,,
54,Developer Plus,Advanced resources and tools for application developers,developer-plus,Developer features plus early API access,$99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
55,Education Plus,Expanded access for schools and educational institutions,education-plus,Education features plus free software/hardware,$4.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
56,Government Plus,Enhanced features for government agencies,government-plus,Government features plus specialized security compliance,$199/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",120 days,,
57,Affiliate Plus,Discounted access for authorized affiliate partners,affiliate-plus,Affiliate features plus co-marketing support,$4.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
58,Hospitality Plus,Enhanced features for hotel and hospitality customers,hospitality-plus,Hospitality features plus custom branding,$9.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
59,Automotive Plus,Specialized access for automotive industry professionals,automotive-plus,Automotive features plus API integration,$14.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
60,Healthcare Plus,Enhanced features for medical and healthcare providers,healthcare-plus,Healthcare features plus data compliance,$14.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
61,Retail Plus,Discounted access for authorized retail partners,retail-plus,Retail features plus co-op advertising,$7.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
62,Manufacturing Plus,Specialized access for industrial and manufacturing customers,manufacturing-plus,Manufacturing features plus dedicated engineering support,$19.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
63,Construction Plus,Enhanced features for construction and engineering professionals,construction-plus,Construction features plus BIM integration,$14.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
64,Agriculture Plus,Discounted access for agricultural and farming customers,agriculture-plus,Agriculture features plus precision analytics,$7.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
65,Energy Plus,Specialized access for energy and utilities industry,energy-plus,Energy features plus grid optimization,$19.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
66,Transportation Plus,Enhanced features for logistics and transportation professionals,transportation-plus,Transportation features plus route planning,$14.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
67,Finance Plus,Discounted access for banking and financial services customers,finance-plus,Finance features plus data encryption,$12.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
68,Legal Plus,Specialized access for legal and compliance professionals,legal-plus,Legal features plus contract management,$17.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
69,Education Enterprise,Expanded access for educational institutions,education-enterprise,Enterprise education features plus campus-wide deployment,$499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
70,Government Enterprise,Enhanced features for government agencies,government-enterprise,Enterprise government features plus security compliance,$999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
71,Corporate Enterprise,Specialized access for large enterprise customers,corporate-enterprise,Enterprise corporate features plus dedicated support,$1999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
72,Research Plus,Enhanced features for academic and scientific research,research-plus,Research features plus advanced analytical tools,$24.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
73,Startup Plus,Discounted access for technology startups and entrepreneurs,startup-plus,Startup features plus business resources,$9.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
74,Nonprofit Enterprise,Expanded access for non-profit organizations,nonprofit-enterprise,Enterprise non-profit features plus grant management,$249/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
75,Sports Plus,Specialized access for sports teams and leagues,sports-plus,Sports features plus data analytics,$14.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
76,Entertainment Plus,Enhanced features for media and entertainment professionals,entertainment-plus,Entertainment features plus production tools,$19.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
77,Hospitality Enterprise,Expanded access for hotel and hospitality chains,hospitality-enterprise,Enterprise hospitality features plus guest management,$799/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
78,Retail Enterprise,Specialized access for large retail organizations,retail-enterprise,Enterprise retail features plus inventory analytics,$1499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
79,Manufacturing Enterprise,Enhanced features for industrial and manufacturing enterprises,manufacturing-enterprise,Enterprise manufacturing features plus production optimization,$1999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
80,Construction Enterprise,Expanded access for construction and engineering firms,construction-enterprise,Enterprise construction features plus project management,$1499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
81,Energy Enterprise,Specialized access for utility and energy companies,energy-enterprise,Enterprise energy features plus grid management,$1999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
82,Transportation Enterprise,Enhanced features for logistics and transportation enterprises,transportation-enterprise,Enterprise transportation features plus supply chain optimization,$1499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
83,Finance Enterprise,Expanded access for banking and financial services enterprises,finance-enterprise,Enterprise finance features plus compliance monitoring,$1999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
84,Legal Enterprise,Specialized access for large law firms and legal departments,legal-enterprise,Enterprise legal features plus knowledge management,$1799/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
85,Education Premium,Enhanced features for individual educators and schools,education-premium,Premium education features plus student portal,$49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
86,Government Premium,Specialized access for government agencies and departments,government-premium,Premium government features plus data integrations,$99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
87,Corporate Premium,Enhanced features for medium-sized businesses,corporate-premium,Premium corporate features plus business intelligence,$199/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
88,Research Enterprise,Expanded access for academic and research institutions,research-enterprise,Enterprise research features plus collaboration tools,$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
89,Startup Enterprise,Specialized access for technology accelerators and incubators,startup-enterprise,Enterprise startup features plus funding resources,$499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
90,Nonprofit Premium,Enhanced features for non-profit organizations,nonprofit-premium,Premium non-profit features plus fundraising tools,$99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
91,Sports Enterprise,Expanded access for professional sports teams and leagues,sports-enterprise,Enterprise sports features plus fan engagement,$1999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
92,Entertainment Enterprise,Specialized access for media and entertainment companies,entertainment-enterprise,Enterprise entertainment features plus digital rights management,$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
93,Affiliate Enterprise,Enhanced features for large affiliate marketing networks,affiliate-enterprise,Enterprise affiliate features plus program management,$1499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
94,Hospitality Premium,Specialized access for boutique hotels and resorts,hospitality-premium,Premium hospitality features plus guest experience,$99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
95,Retail Premium,Enhanced features for mid-sized retail businesses,retail-premium,Premium retail features plus marketing automation,$149/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
96,Manufacturing Premium,Expanded access for small and medium manufacturers,manufacturing-premium,Premium manufacturing features plus production scheduling,$199/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
97,Construction Premium,Specialized access for construction contractors and firms,construction-premium,Premium construction features plus project tracking,$149/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
98,Energy Premium,Enhanced features for independent energy providers,energy-premium,Premium energy features plus grid integration,$199/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
99,Transportation Premium,Expanded access for logistics and transportation companies,transportation-premium,Premium transportation features plus fleet management,$149/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
100,Finance Premium,Specialized access for small and medium financial firms,finance-premium,Premium finance features plus risk analysis,$149/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
101,Legal Premium,Enhanced features for solo practitioners and small law firms,legal-premium,Premium legal features plus matter management,$99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
102,Research Premium,Expanded access for individual researchers and students,research-premium,Premium research features plus collaboration tools,$49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
103,Startup Premium,Specialized access for early-stage tech startups,startup-premium,Premium startup features plus business resources,$49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
104,Nonprofit Premium Plus,Enhanced features for larger non-profit organizations,nonprofit-premium-plus,Premium Plus non-profit features plus donor management,$199/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
105,Sports Premium,Expanded access for recreational sports organizations,sports-premium,Premium sports features plus fan engagement,$99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
106,Entertainment Premium,Specialized access for independent content creators,entertainment-premium,Premium entertainment features plus digital rights,$99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
107,Affiliate Premium,Enhanced features for mid-sized affiliate networks,affiliate-premium,Premium affiliate features plus program analytics,$149/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
108,Hospitality Enterprise,Expanded access for large hotel chains and resorts,hospitality-enterprise,Enterprise hospitality features plus guest personalization,$999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
109,Retail Enterprise,Specialized access for large retail corporations,retail-enterprise,Enterprise retail features plus omnichannel integration,$1499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
110,Manufacturing Enterprise,Enhanced features for large industrial manufacturers,manufacturing-enterprise,Enterprise manufacturing features plus supply chain optimization,$1999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
111,Construction Enterprise,Expanded access for large construction conglomerates,construction-enterprise,Enterprise construction features plus project portfolio management,$1299/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
112,Energy Enterprise,Specialized access for major utility and energy providers,energy-enterprise,Enterprise energy features plus grid monitoring,$1999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
113,Transportation Enterprise,Enhanced features for global logistics and shipping firms,transportation-enterprise,Enterprise transportation features plus fleet optimization,$1499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
114,Finance Enterprise Plus,Expanded access for large banking and financial institutions,finance-enterprise-plus,Enterprise Plus finance features plus regulatory compliance,$2999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
115,Legal Enterprise Plus,Specialized access for international law firms and legal departments,legal-enterprise-plus,Enterprise Plus legal features plus knowledge management,$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
116,Education Enterprise,Enhanced features for large school districts and universities,education-enterprise,Enterprise education features plus student data analytics,$999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
117,Government Enterprise,Expanded access for federal, state, and local government agencies,government-enterprise,Enterprise government features plus data integrations and security,$1499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days
118,Corporate Enterprise,Specialized access for large multinational corporations,corporate-enterprise,Enterprise corporate features plus business intelligence and automation,$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
119,Research Enterprise Plus,Enhanced features for major research institutions and labs,research-enterprise-plus,Enterprise Plus research features plus advanced collaboration tools,$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
120,Startup Enterprise Plus,Expanded access for tech accelerators and venture capital firms,startup-enterprise-plus,Enterprise Plus startup features plus funding resources and mentorship,$999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
121,Nonprofit Enterprise,Specialized access for large non-profit organizations and foundations,nonprofit-enterprise,Enterprise non-profit features plus advanced fundraising and donor management,$499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
122,Sports Enterprise Plus,Enhanced features for major professional sports leagues and teams,sports-enterprise-plus,Enterprise Plus sports features plus AI-powered fan engagement and analytics,$2999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
123,Entertainment Enterprise Plus,Expanded access for global media and entertainment conglomerates,entertainment-enterprise-plus,Enterprise Plus entertainment features plus advanced digital rights and content management,$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
124,Affiliate Enterprise Plus,Specialized access for large-scale affiliate marketing networks,affiliate-enterprise-plus,Enterprise Plus affiliate features plus sophisticated program analytics and optimization,$1999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
125,Healthcare Enterprise,Expanded access for large hospital systems and medical providers,healthcare-enterprise,Enterprise healthcare features plus patient data analytics and telehealth integrations,$1799/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
126,Hospitality Enterprise Plus,Specialized access for luxury hotel chains and resort operators,hospitality-enterprise-plus,Enterprise Plus hospitality features plus AI-powered guest personalization and experience management,$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
127,Retail Enterprise Plus,Enhanced features for multinational retail conglomerates,retail-enterprise-plus,Enterprise Plus retail features plus omnichannel optimization and predictive analytics,$2999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
128,Manufacturing Enterprise Plus,Expanded access for global industrial manufacturing leaders,manufacturing-enterprise-plus,Enterprise Plus manufacturing features plus connected factory and supply chain intelligence,$2999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
129,Construction Enterprise Plus,Specialized access for multinational construction firms,construction-enterprise-plus,Enterprise Plus construction features plus advanced project portfolio management and analytics,$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
130,Energy Enterprise Plus,Enhanced features for utility conglomerates and energy providers,energy-enterprise-plus,Enterprise Plus energy features plus smart grid optimization and renewable energy monitoring,$2999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
131,Transportation Enterprise Plus,Expanded access for global logistics and freight forwarding enterprises,transportation-enterprise-plus,Enterprise Plus transportation features plus advanced fleet management and supply chain optimization,$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
132,Finance Enterprise Premium,Specialized access for international banks and financial institutions,finance-enterprise-premium,Enterprise Premium finance features plus advanced regulatory compliance and risk management,$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
133,Legal Enterprise Premium,Enhanced features for global law firms and legal departments,legal-enterprise-premium,Enterprise Premium legal features plus AI-powered knowledge management and collaboration,$2999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
134,Education Enterprise Plus,Expanded access for large education systems and universities,education-enterprise-plus,Enterprise Plus education features plus student lifecycle management and predictive analytics,$1799/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
135,Government Enterprise Plus,Specialized access for federal, state, and municipal government agencies,government-enterprise-plus,"Enterprise Plus government features plus advanced data integrations, security, and citizen engagement",$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days
136,Corporate Enterprise Plus,Enhanced features for multinational conglomerates and Fortune 500 companies,corporate-enterprise-plus,"Enterprise Plus corporate features plus advanced business intelligence, automation, and strategic planning",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
137,Research Enterprise Premium,Expanded access for leading research institutions and scientific organizations,research-enterprise-premium,"Enterprise Premium research features plus cutting-edge collaboration, data analysis, and IP management",$3999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
138,Startup Enterprise Premium,Specialized access for tech accelerators, incubators, and venture capital firms,startup-enterprise-premium,"Enterprise Premium startup features plus advanced funding resources, mentorship, and growth analytics",$1499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days
139,Nonprofit Enterprise Plus,Enhanced features for large non-profit organizations and foundations,nonprofit-enterprise-plus,"Enterprise Plus non-profit features plus AI-powered fundraising, donor management, and impact analytics",$899/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
140,Sports Enterprise Premium,Expanded access for major professional sports leagues, teams, and organizations,sports-enterprise-premium,"Enterprise Premium sports features plus AI-powered fan engagement, predictive analytics, and revenue optimization",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days
141,Entertainment Enterprise Premium,Specialized access for global media conglomerates and entertainment companies,entertainment-enterprise-premium,"Enterprise Premium entertainment features plus advanced digital rights management, content distribution, and audience analytics",$3999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
142,Affiliate Enterprise Premium,Enhanced features for large-scale affiliate marketing networks and platforms,affiliate-enterprise-premium,"Enterprise Premium affiliate features plus sophisticated program optimization, partner management, and performance forecasting",$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
143,Automotive Enterprise Premium,Specialized access for global automotive manufacturers and dealers,automotive-enterprise-premium,"Enterprise Premium automotive features plus advanced supply chain optimization, predictive maintenance, and customer experience analytics",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
144,Aerospace Enterprise Premium,Enhanced features for leading aerospace and aviation companies,aerospace-enterprise-premium,"Enterprise Premium aerospace features plus end-to-end supply chain visibility, digital twin simulations, and predictive intelligence",$3999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
145,Telecommunications Enterprise Premium,Expanded access for major telecom providers and network operators,telecommunications-enterprise-premium,"Enterprise Premium telecommunications features plus 5G network optimization, IoT management, and predictive maintenance",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
146,Utilities Enterprise Premium,Specialized access for electric, gas, and water utility conglomerates,utilities-enterprise-premium,"Enterprise Premium utilities features plus advanced grid management, renewable energy integration, and customer experience optimization",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days
147,Agriculture Enterprise Premium,Enhanced features for global agribusiness leaders and farming cooperatives,agriculture-enterprise-premium,"Enterprise Premium agriculture features plus precision farming analytics, supply chain traceability, and predictive weather modeling",$2499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
148,Pharmaceutical Enterprise Premium,Expanded access for major pharmaceutical companies and biotech firms,pharmaceutical-enterprise-premium,"Enterprise Premium pharmaceutical features plus advanced clinical trial management, pharmacovigilance, and real-world evidence generation",$3999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
149,Chemical Enterprise Premium,Specialized access for large-scale chemical manufacturers and distributors,chemical-enterprise-premium,"Enterprise Premium chemical features plus supply chain optimization, predictive maintenance, and environmental compliance monitoring",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
